"ARBEN BERISHA (Write-In)",1
"ARI GARIN (Write-In)",1
"ARYE MOSSBERG (Write-In)",1
"BEN EPSTEIN (Write-In)",1
"BERNARD R. BLOCK (Write-In)",1
"BERNIE SANDERS (Write-In)",3
"BERNIE SILVER (Write-In)",1
"BRENNAN BIDDLE (Write-In)",1
"BRIAN HIGGINS (Write-In)",1
"CAROLYN MALONEY (Write-In)",1
"CHAIM ZWIBEL (Write-In)",1
"CHARLIE HUTSON (Write-In)",1
"CLYDE WILIAMS (Write-In)",1
"CLYDE WILLIAMS (Write-In)",4
"COREY JOHNSON (Write-In)",1
"DOV HIKIND (Write-In)",7
"ELCHANAN W. PESACH (Write-In)",1
"ELIZABETH WARREN (Write-In)",2
"ESPOLLIATE ESPALLIATE ADRIAN (Write-In)",1
"ESTHER TALANSKY (Write-In)",1
"EZRA FRIEDLANDER (Write-In)",1
"FELICE BLAU (Write-In)",1
"FRANK SERPICO (Write-In)",1
"GERRY NADLER (Write-In)",1
"GLEM A MARCHANT (Write-In)",1
"GUILLERMO LINARE (Write-In)",1
"GUILLERMO LINARES (Write-In)",3
"ISRAEL ZOBERMAN (Write-In)",1
"JACK RAIGLICH (Write-In)",1
"JACOB FREILICH (Write-In)",1
"JACOBS ROSENTHAL (Write-In)",1
"JAMES KEITH BROWN (Write-In)",1
"JEFFREY BARON (Write-In)",1
"JERROLD L. ARDLER (Write-In)",1
"JOEL ROSENFELD (Write-In)",1
"JULIA WILLEBRAND (Write-In)",1
"KEITH WRIGHT (Write-In)",12
"LEE C BOLLINGER (Write-In)",1
"LETITIA JAMES (Write-In)",1
"LIAM K. NUJ (Write-In)",1
"LIZ ABZUG (Write-In)",1
"MARDN FINK (Write-In)",1
"MARK GREEN (Write-In)",1
"MICAH LASHER (Write-In)",1
"MICHAEL GURAL MAIELLO (Write-In)",1
"MICHAEL MEYERS (Write-In)",1
"MOSHE TALANSKY (Write-In)",1
"MUHAIL ROSENBERG (Write-In)",1
"NATALIJA PAVLOVIC (Write-In)",1
"NATASHA GURAL MAIELLO (Write-In)",1
"NOACH DEAR (Write-In)",1
"NORMAN NEIGER (Write-In)",1
"NUCHAM GLAUS (Write-In)",1
"NYDIA VELAZQUEZ (Write-In)",2
"RABR MILLER (Write-In)",1
"RACHEL FREIER (Write-In)",2
"ROSS ALEXANDER LANVIN (Write-In)",1
"SAKIF CHOWDARY (Write-In)",1
"SCOTT ROTH (Write-In)",1
"SEAN SWEENEY (Write-In)",1
"SENDER FRANKEL (Write-In)",1
"SHLOME BRAUN (Write-In)",1
"SILLY THAI (Write-In)",1
"SIMCHA FELDER (Write-In)",1
"SUSAN J COOKE (Write-In)",1
"SUSAN MILLER (Write-In)",2
"TED WEISS (Write-In)",1
"TIMOTHY BRENNAN (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",51
