"UNATTRIBUTABLE WRITE-IN (Write-In)",28
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VICTOR JORDAN (Write-In)",1
"ZELNOR MYRIE (Write-In)",1
,
,
,
"Total Votes","23,279"
"Unrecorded","5,148"

"Total for Democratic Delegate to Judicial Convention (43rd Assembly District) - Kings County"
"Public Counter","3,803"
"Emergency",0
"Absentee/Military",223
"Affidavit",35
"Total Ballots","4,061"
"Less - Inapplicable Federal/Special Presidential Ballots",0
"Total Applicable Ballots","4,061"
,
"Una S.T. Clarke","2,694"
"Diana Richardson","3,057"
"Samuel Clarke","1,915"
"Dexter Roberts","1,589"
"Jim St. Germain","1,105"
"Kenya Handy-Hilliard","1,574"
"Joyce Jervis-Henry","1,695"
"Reuven Lipkin",697
"Deborah Cook","1,709"
"Evelyn R. Williams","1,543"
"Denise Mann","1,105"
"Geoffrey A. Davis","1,726"
"F. Davis Cunningham",953
"Thelma Davis","1,831"
"ADAM MEYERS (Write-In)",1
"ALECIA BOYD (Write-In)",1
"ALFRED JOHNSON (Write-In)",1
"ARNA LIPHIRD (Write-In)",1
"BARBARA ROGERS (Write-In)",1
"BERNIE SANDERS (Write-In)",1
"CHARLES KHAN (Write-In)",2
"CLINTON MILLER (Write-In)",1
"DEBORAH CREIGHTON (Write-In)",1
"DIANA BARON-MOORE (Write-In)",1
"DIANA FOSTER (Write-In)",1
"E. PHIL POTTS (Write-In)",1
"EDENA GILL (Write-In)",1
"EUGENE MATTHEW (Write-In)",1
"HELARY CLENTEN (Write-In)",1
"IGENIE F HARRIS-BLENMAN (Write-In)",2
"JACK GRAHAM (Write-In)",1
"JAMES GENTILE (Write-In)",1
"JEFFREY IRWIN (Write-In)",1
"JESSE HAMILTON (Write-In)",2
"JOSEPH MOCHKIN (Write-In)",2
"JUDY SPENCE (Write-In)",1
"KAREN CHERRY (Write-In)",1
"KATHLEEN CANN (Write-In)",1
"LAURIE CUMPO (Write-In)",2
"LETITIA JAMES (Write-In)",2
"LORRAINE THOMAS (Write-In)",1
"MAKINE BARNES (Write-In)",1
"MARIE LIVERPOOL (Write-In)",1
"MERCEDES NARCISSE (Write-In)",1
"MICHELLE MORGAN (Write-In)",1
"OMAR GONZALEZ PAGAN (Write-In)",1
"OSWALD FRASIER (Write-In)",2
"PETER MARTIN (Write-In)",1
"RAPHAEL POPE SUSSMAN (Write-In)",1
"RAPHAEL POPE SUSSMIN (Write-In)",1
"RASHIDA N. WRIGHT (Write-In)",1
"SAGUAN JONES (Write-In)",1
"SAM GHITLEUAN (Write-In)",1
"SCOTT LIMBACHER (Write-In)",2
"SHAWN T. FRANCIS (Write-In)",2
"SHIRLEY PATTERSON (Write-In)",3
"TIMOTHY JAMES THOMAS (Write-In)",1
"TOM REED (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",28
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",1
"VICTOR JORDAN (Write-In)",1
"ZELNOR MYRIE (Write-In)",1
,
,
,
"Total Votes","23,279"
"Unrecorded","5,148"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
