,
"Statement and Return Report

for Certification



General Election 2016 - 11/08/2016


Richmond County
 - 
All Parties and Independent Bodies




Member of the Assembly


64th Assembly District


Vote for 1"
"CAROL M. WEIBEL (Write-In)",1
"CERCIE LANISTER (Write-In)",1
"CHRIS O'DONNEL (Write-In)",1
"CHRISTOPHER SEDITA (Write-In)",1
"CLIFF HAGAN (Write-In)",1
"CYNTHIA MATERROSO (Write-In)",1
"DANIEL DEMEO (Write-In)",1
"DANIEL V. KENNEDY (Write-In)",1
"DEBI ROSE (Write-In)",1
"DEREK GREGORY (Write-In)",1
"DIANE SAVINO (Write-In)",1
"DOU MEDINETS (Write-In)",2
"ELENA ARENA (Write-In)",1
"ELIZABETH WARREN (Write-In)",2
"ERICA GARNER (Write-In)",1
"FRANCESCA SANCHEZ (Write-In)",1
"FRANK MURANO (Write-In)",1
"FRANK POE (Write-In)",1
"GARY PHANEUF (Write-In)",1
"GARY WHITE (Write-In)",1
"GENA MIMOZO (Write-In)",3
"GEORGE ORLANDO (Write-In)",1
"GREGORY OBRIEN (Write-In)",1
"HENRY J. BARDEL (Write-In)",2
"HESHAM EL-MELIGY (Write-In)",2
"JAMES L. NUGENT (Write-In)",1
"JAMES MCKAY (Write-In)",1
"JANELE HYER-SPENCER (Write-In)",1
"JANINE MATERNA (Write-In)",1
"JASON O'BRIEN (Write-In)",1
"JESSICA PETERSON (Write-In)",1
"JILL STEIN (Write-In)",1
"JOANNE SIMON (Write-In)",1
"JOHN D. OWENS (Write-In)",1
"JOHN MCFEELEY (Write-In)",1
"JOHN OLIVER (Write-In)",1
"JOHN SZELUGA (Write-In)",2
"JONATHAN ROSSI (Write-In)",1
"JOSEPH DURANTE (Write-In)",1
"JOSEPH TORRES (Write-In)",1
"JUSTIN CAPUTO (Write-In)",1
"KEN BONE (Write-In)",2
"KENNETH KRAEMER (Write-In)",1
"KENNETH SHEAHAN (Write-In)",1
"LEE BONUSO (Write-In)",1
"LEONORA PERRY (Write-In)",1
"MARIETTA CANNING (Write-In)",1
"MARIO MARINO (Write-In)",1
"MARK CASNER (Write-In)",1
"MATT GAETA (Write-In)",1
"MAYNARD JAMES KEENAN (Write-In)",1
"MEVLUD DODIC (Write-In)",1
"MICHAEL MURPHY (Write-In)",1
"MICHAEL RELLEY (Write-In)",1
"NICHOLAS SIMMONS (Write-In)",1
"NIKO R. NIEVES (Write-In)",1
"NIKOLA TESLA (Write-In)",1
"PETER LANTRY (Write-In)",1
"PRISCILLA TITUS (Write-In)",1
"RALPH NADER (Write-In)",1
"RITA LOUISE KORNFELD (Write-In)",1
"ROBERT STOLZ (Write-In)",1
"ROBERT STRANIERE (Write-In)",2
"ROBIN LAVERNE WILSON (Write-In)",1
"RON PAUL (Write-In)",1
"RONNIE JAMES DIO (Write-In)",1
"ROSEMARY F. PALLADINO (Write-In)",1
"ROY P. KOSHY (Write-In)",1
"SAMUEL STEINBERG (Write-In)",1
"SCOTT FRANZRED (Write-In)",1
"SOPHIA ROZLOVA (Write-In)",1
"SRI BARCHETTO (Write-In)",1
"STEPHEN PIERSON (Write-In)",1
"STEVE ROGERS (Write-In)",1
"STEVEN GUNVER (Write-In)",1
"STEVEN SERRANO (Write-In)",1
"TARA HAZEN (Write-In)",1
"THOMAS O'BRIEN (Write-In)",1
"TIM KAINE (Write-In)",1
"TOBIAS BUCKLE (Write-In)",1
"UNATTRIBUTABLE WRITE-IN (Write-In)",62
"UNCOUNTED WRITE-IN PER STATUTE (Write-In)",3
,
,
,
"Total Votes","27,710"
"Unrecorded","7,964"


"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on","Date","Secretary","Chairman","Chief Clerk","Canvassing Board","Canvassing Board","Deputy Chief Clerk"
"Page -1 of 1"
